 # File h.dat, created by Task#1 of TABOO on 2022.05.02 time=11.11.45
 # These h numbers are of loading type
  2       -0.45182198E+00      -0.26677508E+01      -0.75625258E-09      -0.16256858E-05      -0.81706627E-04      -0.11198948E-02       0.20775964E-04      -0.39962898E-01       0.20369205E-31      -0.25875964E-01      -0.26645624E+00      -0.10775053E+01      -0.52355550E-25      -0.21280818E-01      -0.10934598E-01      -0.10581286E-17      -0.24007595E-03      -0.10875186E-03       0.11209187E-18      -0.38031577E-02      -0.87730999E-03      -0.69060550E-22
  3       -0.46228252E+00      -0.37366618E+01      -0.21116178E-08      -0.44728844E-05      -0.21294111E-03      -0.27901369E-02      -0.51453783E-03      -0.23390946E-01       0.10469005E-30      -0.10703171E+00      -0.39744146E+00      -0.12025870E+01      -0.40630347E-24      -0.83319779E-02      -0.16934010E-02       0.74733895E-17      -0.14153288E-03      -0.10974355E-03      -0.74615036E-18      -0.18891430E-02      -0.19036278E-03       0.25496292E-21
  4       -0.46238690E+00      -0.48060280E+01      -0.45134637E-08      -0.93781012E-05      -0.41496538E-03      -0.50450838E-02      -0.17909484E-02      -0.21969502E-01       0.14926376E-30      -0.19467241E+00      -0.53196454E+00      -0.11137544E+01       0.94537931E-24      -0.42018858E-02      -0.61512541E-04       0.14693170E-17      -0.75815361E-04      -0.85106296E-04      -0.20901451E-18      -0.10766243E-02       0.23184970E-06       0.14513289E-21
  5       -0.48619730E+00      -0.58751070E+01      -0.82517307E-08      -0.16756820E-04      -0.67723924E-03      -0.74855350E-02      -0.32965204E-02      -0.25324921E-01       0.74102628E-31      -0.25848498E+00      -0.12193642E+01      -0.47054328E+00       0.14447497E-23      -0.28831622E-02      -0.16581816E-02      -0.34521121E-16      -0.44211371E-04      -0.59478393E-04       0.27540570E-17      -0.77509527E-03      -0.35601260E-04      -0.54290770E-21
  6       -0.52550388E+00      -0.69432989E+01      -0.13609137E-07      -0.26920730E-04      -0.97771288E-03      -0.97162076E-02      -0.48172251E-02      -0.32053976E-01      -0.43942867E-30      -0.24851084E+00      -0.16550333E+01      -0.16757786E+00       0.13594225E-23      -0.24729890E-02      -0.37043292E-02      -0.13641290E-16      -0.28835390E-04      -0.37405460E-04       0.88134343E-18      -0.65059441E-03      -0.79369231E-04      -0.11066899E-21
  7       -0.57171719E+00      -0.80098914E+01      -0.20858191E-07      -0.40071491E-04      -0.12879300E-02      -0.11488162E-01      -0.65827916E-02      -0.43020850E-01       0.31672014E-30      -0.16428378E+00      -0.18061787E+01      -0.22998679E+00      -0.27832843E-23      -0.24549609E-02      -0.54659120E-02       0.43579165E-16      -0.20846981E-04      -0.20329240E-04      -0.25532766E-17      -0.58372726E-03      -0.91519185E-04       0.40090435E-21
  8       -0.62020358E+00      -0.90739717E+01      -0.30257201E-07      -0.56296824E-04      -0.15782740E-02      -0.12721269E-01      -0.91038962E-02      -0.61056277E-01       0.92505772E-31      -0.70969909E-01      -0.20185575E+01      -0.23396408E+00       0.47679740E-23      -0.26644137E-02      -0.68419797E-02      -0.91983401E-16      -0.16403589E-04      -0.90120669E-05       0.49730764E-17      -0.52941530E-03      -0.82338235E-04      -0.81887762E-21
  9       -0.66875136E+00      -0.10134400E+02      -0.42048359E-07      -0.75567967E-04      -0.18223710E-02      -0.13453081E-01      -0.13168482E-01      -0.98740006E-01       0.35325862E-29      -0.30534434E-02      -0.21930123E+01      -0.22513204E+00      -0.16086876E-22      -0.30397124E-02      -0.78703587E-02       0.31618194E-15      -0.13769343E-04      -0.28777702E-05      -0.16499048E-16      -0.47237697E-03      -0.65376200E-04       0.30145795E-20
 10       -0.71633750E+00      -0.11189737E+02      -0.56448408E-07      -0.97738905E-04      -0.20002658E-02      -0.13774893E-01      -0.19960589E-01      -0.22502487E-01      -0.89353144E-01      -0.72505746E-29      -0.23214364E+01      -0.21238397E+00      -0.19875693E-23      -0.35529374E-02      -0.85998993E-02       0.19757295E-15      -0.12110964E-04      -0.40644271E-06      -0.10669341E-16      -0.41076449E-03      -0.48371600E-04       0.26465034E-20
 11       -0.76248994E+00      -0.12238275E+02      -0.73651602E-07      -0.12254829E-03      -0.21002842E-02      -0.13786498E-01      -0.31224366E-01      -0.67031682E-02      -0.14289507E+00      -0.19993487E-29      -0.24110161E+01      -0.19817994E+00      -0.64100916E-24      -0.41874804E-02      -0.90707245E-02      -0.49316691E-16      -0.11005218E-04      -0.27746584E-07       0.27700697E-17      -0.34784432E-03      -0.34320609E-04      -0.81193701E-21
